"ID","Questions","A","B","C","D","Correct"
"1","Which of the following are transport layer protocols used in networking?","UDP and HTTP","TCP and FTP","TCP and UDP","HTTP and FTP","C"
"2","Which one of the following is false?","TCP uses a three way handshake to 
establish a connection","TCP is a connection-oriented protocol","TCP receives data from application 
as a single stream","None of the above","B"
"3","The transport layer protocols used for real time multimedia, file transfer, DNS and email, respectively are:","TCP, UDP, TCP, UDP","UDP, TCP, UDP, TCP","TCP, UDP, UDP, TCP","UDP, TCP, TCP, TCP","B"
"4","Which of the following transport layer protocols is used to support electronic mail?","IP ","UDP","SMTP","TCP","D"
"5","What is the range of well known ports?","0 to 1023","1024 to 49,151","49,152 to 65,535","None of the above","A"
"6","Socket address is the combination of ","IP address and serial number","IP address and port number","IP number and mac address","None of the above","B"
"7","Multiplexing is done at the ____ of the transport layer?","In-between","Destination","Source","None of the above","C"
"8","De-Multiplexxing is done at the ____ of the transport layer?","Destination","In-between","Source","None of the above","A"
"9","If the sender delivers items whenever they are produced⎯without a prior request from the consumer⎯the delivery 
is referred to as","de-multiplexing","pulling","multiplexing","pushing ","D"
"10","If the header of the packet allows m bits for the sequence number, the sequence numbers range from","2m","2^m","2^m - 1","None of the above","C"
"11","If m = 2, the range of sequence numbers is ","0,1","0,1,2,3","0,1,2,3,4,5,6,7","None of the above","B"
"12","The range of the sliding window is from ","0 to 2^m - 1","1 to 2^ - 1","0 to 2^m ","1 to 2^m","A"
"13","Which one of the following uses UDP as the transport protocol?","Telnet","SMTP","DNS","HTTP and FTP","C"
"14","_______  control refers to the mechanisms and techniques that control the congestion and keep the load below the capacity.","None of the above","Error","Flow","Congestion","D"
"15","State which is false:","The silence of the receiver is a
signal for the sender that a packet
was either corrupted or lost","The Stop-and-Wait protocol is a 
connectionless protocol that 
provides flow and error control.","Every time the sender sends a 
packet, it starts a timer","Note that only one packet and 
one acknowledgment can be 
in the channels at any time.","B"
"16","Which one of the following socket API functions converts an unconnected active TCP socket into a passive socket.","connect","bind ","listen","accept","C"
"17","Packets of the same session may be routed through different paths in","TCP and UDP","TCP, but not UDp","UDP, but not TCP","Neither TCP nor UDP","A"
"18","The maximum window size for data transmission using the selective reject protocol with n-bit frame sequence numbers is:","2^(n-2)","2^n - 1","2^n","2^(n-1)","D"
"19","Which of the following functionalities must be implemented by a transport protocol over and above the network protocol ?","End to end connectivity","Recovery from packet losses","Detection of duplicate packets","Packet delivery in the correct order","A"
"20","Which of the following is a transport layer protocol?","neighbor discovery protocol","internet control message protocol","stream control transmission protocol","dynamic host configuration protocol","C"
"21","What is bandwidth-delay product?","The product of bandwidth and the round-trip delay ","The product of bandwidth and total delay","The number of devices connected to a network","The speed at which data is transmitted in a network","A"
"22","What is the bandwidth-delay product if the bandwidth is 1Mbps and 1 bit takes 20 miliseconds to make a round trip?","2 x 10^6 bits ","200000 bits","200 bits","20000 bits","D"
"23","What is the bandwidth-delay product if the bandwidth is 0.5 Mbps and 1 bit takes 75 miliseconds to make a round trip?","375000 bits","37500 bits ","3750 bits","375 bits","B"
"24","What is the bandwidth-delay product if the bandwidth id 2Mbps and 1 bit takes 43 miliseconds to make a round trip?","2150 bits ","4300 bits ","43000 bits ","21500 bits","C"
"25","What is pipelining?","None of the above","task is begun after the current task 
has ended","tasks can be started and ended
randomly.","task is often begun before the previous 
task has ended.","D"
"26","In Selective-Repeat, the size of the sender and receiver window can be at most one-half of ___ ? ","2m","2^m - 1","2^m","None of the above","C"
"27","Full form of UDP protocol?","User datagram protocol","User data protocol","Using datagram protocol","None of the above","A"
